sim_number,chemostat_id,slope,intercept
1,1,-1.3239983723568443,2.8441259067525717
1,25,-0.8868986564203787,1.9060573719533596
2,1,-1.3214146581223796,2.8158261254159513
2,25,-0.9164673058933971,1.952018729967537
3,1,-1.3221663457091382,2.8182646302374046
3,25,-0.8867961247131791,1.887962545434458
4,1,-1.3009372930067673,2.7927300505420476
4,25,-0.821119144589714,1.7571608905497385
5,1,-1.305871052733782,2.8131843192949058
5,25,-0.8648523730991613,1.8774242943642732
6,1,-1.3033697970794549,2.804174097980511
6,25,-0.9074108463112861,1.9284593479802983
7,1,-1.2722412472503664,2.7588574600752955
7,25,-0.9246137586427502,1.9954505047362179
8,1,-1.3155487978582938,2.846828612479044
8,25,-0.835650339385258,1.7469803381776496
9,1,-1.2781208402310786,2.778209501680736
9,25,-0.9032587206670037,1.9237031373556863
10,1,-1.2761818886279213,2.8150262963043367
10,25,-0.8863841914950766,1.9108106409790577
11,1,-1.2776929229453595,2.7877242689766044
11,25,-0.8552708650299767,1.8069142550126942
12,1,-1.2820987979242984,2.798128193608952
12,25,-0.9704530189443428,2.0528515655747435
13,1,-1.2686245564766552,2.800577101384421
13,25,-0.959193120232431,2.008086640084502
14,1,-1.2737603153257968,2.8170324865866325
14,25,-0.9539996335562156,2.019580474773682
15,1,-1.2912465457808855,2.82983090495003
15,25,-0.9688167426013947,2.0473830304474103
16,1,-1.286996203946971,2.852924379558546
16,25,-0.9628020979781726,2.0359839667724926
17,1,-1.2715601777294285,2.809317639077734
17,25,-0.9469128750099769,2.025989454360747
18,1,-1.2850143227564708,2.8363274862684773
18,25,-0.9656974083353947,2.030742945771809
19,1,-1.2996497411815704,2.857522943035795
19,25,-0.9812377988925158,2.076374387249737
20,1,-1.2863353950797334,2.8524526717447065
20,25,-1.0239509046581832,2.0945517027124114
21,1,-1.2912698225826347,2.8385191238282954
21,25,-1.0074813174733022,2.0661127476385444
22,1,-1.2732923864370438,2.855185973200345
22,25,-1.0744726058312895,2.2203559734880387
23,1,-1.2943612580206287,2.854844058637224
23,25,-1.109740510594903,2.2575963341891665
24,1,-1.2695074637559787,2.836772085469107
