sim_number,chemostat_id,slope,intercept
1,1,-1.2524333404546018,2.738540347305351
1,25,-0.9155554277494878,1.9939754048614815
2,1,-1.2910966867751148,2.760965544840595
2,25,-0.8627629702231381,1.8665893033245613
3,1,-1.2647635229337952,2.7777026776210563
3,25,-0.9003313618733864,1.946360286382993
4,1,-1.2532006731934908,2.746722885873289
4,25,-0.84769924628109,1.8272266717199388
5,1,-1.3117397664307682,2.821900509803674
5,25,-0.8489744870718597,1.812339915470994
6,1,-1.2951101828795435,2.797114004385404
6,25,-0.8868907422086135,1.8945990375075965
7,1,-1.2606453265765358,2.785792273043672
7,25,-0.9441542346976084,2.025152232303909
8,1,-1.2831999893855832,2.7844377264227833
8,25,-0.94898843147659,2.0195613959295313
9,1,-1.2867112608331548,2.812818631365407
9,25,-0.9075750883984012,1.9616530561820489
10,1,-1.2877090387010737,2.826382135206115
10,25,-0.8760839952375519,1.8735988758799433
11,1,-1.2780578523525477,2.8008580034693256
11,25,-0.9314641077965782,1.969007673741391
12,1,-1.2845687001474695,2.831689437273631
12,25,-0.915612453814648,1.9297851642525952
13,1,-1.2898625030626845,2.8395450589532234
13,25,-0.9699329020340106,2.038619886914718
14,1,-1.2710175795869443,2.788626856797313
14,25,-0.8956881499694576,1.924972484422564
15,1,-1.2869689303647156,2.8366743825941305
15,25,-0.9687728534169869,2.0391406885674046
16,1,-1.307068274663553,2.851849682042612
16,25,-0.998561721671169,2.089778759749912
17,1,-1.274729169893209,2.8355732299475718
17,25,-0.9374997392329525,2.004597142967959
18,1,-1.3007165857019614,2.866444297404301
18,25,-1.0417106609972728,2.1855929349052903
19,1,-1.2933037441421928,2.8622727344504937
19,25,-1.0105333397615388,2.1068588942924773
20,1,-1.2814069534519872,2.8526149372789957
20,25,-1.0167242347777654,2.0968969306732133
21,1,-1.2846006152822398,2.8388649258743586
21,25,-1.0661818819505486,2.1565056067113195
22,1,-1.2561501069324308,2.82334644889856
22,25,-1.0445427932856812,2.157828399784426
23,1,-1.284660081760946,2.874282153590112
23,25,-1.0694844608358112,2.1249297967431504
24,1,-1.2785907526745761,2.867012554434944
24,25,-1.0426707702813702,2.104864358909117
25,1,-1.2596272232055536,2.8440877707745584
25,25,-1.1643963464453075,2.30430839337948
26,1,-1.2645054757812135,2.8441785394821406
26,25,-1.1217462492651897,2.2202868645375378
27,1,-1.2954635679401814,2.898653730524745
27,25,-1.0958069844745397,2.190094437406954
28,1,-1.308766974406637,2.9144363811776595
28,25,-1.1306632504089587,2.2050132523533184
29,1,-1.3330492257589281,2.9359540564307687
29,25,-1.1204257167385971,2.176272683692288
30,1,-1.3353803743364343,2.963334582110604
30,25,-1.0908131715070943,2.1444705924135725
31,1,-1.349431255425091,2.9839216363747387
31,25,-1.162728663105368,2.225234068957876
32,1,-1.325972147254934,2.9457218870264064
32,25,-1.1922912518492896,2.2729158828603855
33,1,-1.357614940861628,2.9734742355721364
33,25,-1.2055900219793267,2.247037495815602
34,1,-1.3368981060657226,2.957023832245833
34,25,-1.248229931318449,2.28055833011121
35,1,-1.3568143088528977,2.9877066358837894
35,25,-1.2299749992872158,2.2875088775581065
36,1,-1.342292509607028,2.9766243369099645
36,25,-1.248340322541199,2.279787976248254
37,1,-1.3589342400259843,2.9830233600423033
37,25,-1.2526619020687282,2.2370404809739695
38,1,-1.362282133921745,2.9900079240123283
38,25,-1.2557659356240676,2.197808800087874
39,1,-1.470986645226214,3.1201330926997546
39,25,-1.2961850930205883,2.2165290341847856
40,1,-1.437923866488083,3.0916001099905457
40,25,-1.3263662966509482,2.2199830113129795
41,1,-1.4422904054042034,3.0769823346255616
41,25,-1.424359043625317,2.3754304250979055
42,1,-1.6076444695305105,3.279272041735039
42,25,-1.5632404647805034,2.797893808923612
43,1,-1.449474514431519,3.0709201369341725
