n_atoms,log10_N,assembly_index
2,0.7782,0
4,1.6721,2
5,2.3404,3
6,3.0378,4
7,3.7802,5
7,3.7802,4
7,3.7802,6
7,3.7802,4
7,3.7802,5
8,4.5733,5
8,4.5733,7
8,4.5733,5
8,4.5733,4
8,4.5733,7
8,4.5733,6
8,4.5733,5
8,4.5733,6
9,5.386,8
9,5.386,9
9,5.386,7
9,5.386,5
9,5.386,6
9,5.386,5
9,5.386,5
9,5.386,6
9,5.386,6
9,5.386,6
9,5.386,5
9,5.386,5
9,5.386,5
9,5.386,6
9,5.386,5
9,5.386,6
9,5.386,5
9,5.386,5
9,5.386,5
9,5.386,6
9,5.386,6
9,5.386,7
9,5.386,8
9,5.386,5
9,5.386,7
9,5.386,6
9,5.386,5
9,5.386,5
9,5.386,5
9,5.386,6
9,5.386,8
9,5.386,5
9,5.386,5
9,5.386,5
9,5.386,6
9,5.386,5
9,5.386,7
9,5.386,6
9,5.386,6
9,5.386,5
9,5.386,7
9,5.386,6
9,5.386,7
9,5.386,5
9,5.386,4
9,5.386,6
9,5.386,7
9,5.386,6
9,5.386,6
9,5.386,8
9,5.386,6
9,5.386,6
9,5.386,6
9,5.386,6
9,5.386,6
9,5.386,5
9,5.386,6
10,6.2228,8
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,8
10,6.2228,6
10,6.2228,8
10,6.2228,6
10,6.2228,6
10,6.2228,5
10,6.2228,7
10,6.2228,6
10,6.2228,8
10,6.2228,5
10,6.2228,6
10,6.2228,5
10,6.2228,4
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,5
10,6.2228,5
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,7
10,6.2228,8
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,8
10,6.2228,7
10,6.2228,6
10,6.2228,9
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,8
10,6.2228,6
10,6.2228,9
10,6.2228,6
10,6.2228,7
10,6.2228,8
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,5
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,5
10,6.2228,7
10,6.2228,6
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,5
10,6.2228,6
10,6.2228,7
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,5
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,8
10,6.2228,6
10,6.2228,6
10,6.2228,8
10,6.2228,5
10,6.2228,4
10,6.2228,6
10,6.2228,6
10,6.2228,5
10,6.2228,5
10,6.2228,5
10,6.2228,7
10,6.2228,8
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,8
10,6.2228,7
10,6.2228,6
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,5
10,6.2228,5
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,6
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,7
10,6.2228,5
10,6.2228,6
10,6.2228,6
10,6.2228,6
