ϵ,outflow,iterations,mass,time
0.01,0.1,100,100,0.0005806
0.1,0.1,100,100,0.0009126
0.01,0.1,200,100,0.0034644
0.1,0.1,200,100,0.0032033
0.01,0.1,500,100,0.0096078
0.1,0.1,500,100,0.0227708
0.01,0.1,1000,100,0.084911
0.1,0.1,1000,100,0.0843138
0.01,0.1,2000,100,0.1872354
0.1,0.1,2000,100,0.1796617
0.01,0.1,100,200,0.0008968
0.1,0.1,100,200,0.0004815
0.01,0.1,200,200,0.0021468
0.1,0.1,200,200,0.0018013
0.01,0.1,500,200,0.0140973
0.1,0.1,500,200,0.0128389
0.01,0.1,1000,200,0.0703298
0.1,0.1,1000,200,0.0850082
0.01,0.1,2000,200,0.1893789
0.1,0.1,2000,200,0.1822509
0.01,0.1,100,500,0.0017287
0.1,0.1,100,500,0.0015596
0.01,0.1,200,500,0.0028678
0.1,0.1,200,500,0.005745
0.01,0.1,500,500,0.0145016
0.1,0.1,500,500,0.0181367
0.01,0.1,1000,500,0.0602104
0.1,0.1,1000,500,0.056762
0.01,0.1,2000,500,0.1887551
0.1,0.1,2000,500,0.1758184
0.01,0.1,100,1000,0.0016781
0.1,0.1,100,1000,0.0013759
0.01,0.1,200,1000,0.0027992
0.1,0.1,200,1000,0.0076233
0.01,0.1,500,1000,0.0113008
0.1,0.1,500,1000,0.0199349
0.01,0.1,1000,1000,0.0822799
0.1,0.1,1000,1000,0.0816081
0.01,0.1,2000,1000,0.1829792
0.1,0.1,2000,1000,0.1654233
0.01,0.1,100,2000,0.0028218
0.1,0.1,100,2000,0.0021047
0.01,0.1,200,2000,0.0047628
0.1,0.1,200,2000,0.0050739
0.01,0.1,500,2000,0.0176831
0.1,0.1,500,2000,0.0214441
0.01,0.1,1000,2000,0.0928414
0.1,0.1,1000,2000,0.0837071
0.01,0.1,2000,2000,0.1953476
0.1,0.1,2000,2000,0.1925526
