integer,assemblyindex,calc_time
1,0,1.784e-06
2,1,9.327e-06
3,2,1.5579e-05
4,2,1.1682e-05
5,3,1.579e-05
6,3,1.573e-05
7,4,1.597e-05
8,3,1.1712e-05
9,4,1.6551e-05
10,4,1.615e-05
11,5,1.6341e-05
12,4,1.61e-05
13,5,1.608e-05
14,5,1.6201e-05
15,5,1.7793e-05
16,4,1.2143e-05
17,5,1.6321e-05
18,5,1.6091e-05
19,6,1.6361e-05
20,5,1.6201e-05
21,6,1.6501e-05
22,6,1.6632e-05
23,6,2.3504e-05
24,5,1.617e-05
25,6,1.647e-05
26,6,1.7233e-05
27,6,1.9216e-05
28,6,1.6401e-05
29,7,2.1e-05
30,6,1.8625e-05
31,7,2.7943e-05
32,5,1.2564e-05
33,6,1.622e-05
34,6,1.6731e-05
35,7,1.7262e-05
36,6,1.6642e-05
37,7,2.8043e-05
38,7,1.6501e-05
39,7,2.7632e-05
40,6,1.6451e-05
41,7,1.8275e-05
42,7,5.351e-05
43,7,2.8243e-05
44,7,1.6941e-05
45,7,2.7251e-05
46,7,2.6289e-05
47,8,0.000100389
48,6,1.6431e-05
49,7,1.6791e-05
50,7,1.6702e-05
51,7,2.1049e-05
52,7,1.7022e-05
53,8,2.4566e-05
54,7,1.9858e-05
55,8,4.3652e-05
56,7,1.6811e-05
57,8,2.2523e-05
58,8,2.4316e-05
59,8,4.9994e-05
60,7,1.9276e-05
61,8,3.4605e-05
62,8,4.0186e-05
63,8,4.8511e-05
64,6,1.2534e-05
65,7,1.6661e-05
66,7,1.6711e-05
67,8,1.7703e-05
68,7,1.6601e-05
69,8,1.7373e-05
70,8,1.7052e-05
71,9,0.000103605
72,7,1.6691e-05
73,8,1.7714e-05
74,8,1.7262e-05
75,8,3.214e-05
76,8,1.7333e-05
77,8,5.875e-05
78,8,3.0998e-05
79,9,0.000148409
80,7,1.6801e-05
81,8,1.7072e-05
82,8,1.7543e-05
83,8,3.4364e-05
84,8,1.7082e-05
85,8,3.1219e-05
86,8,3.161e-05
87,9,0.000162365
88,8,1.7302e-05
89,9,4.3331e-05
90,8,2.9976e-05
91,9,0.000197301
92,8,2.8874e-05
93,9,0.000166553
94,9,0.000145013
95,9,0.000208772
96,7,1.646e-05
97,8,1.7132e-05
98,8,1.6962e-05
99,8,2.3193e-05
100,8,1.6992e-05
101,9,5.1797e-05
102,8,2.2593e-05
103,9,7.1504e-05
104,8,1.7062e-05
105,9,3.3092e-05
106,9,2.9465e-05
107,9,8.1273e-05
108,8,2.0789e-05
109,9,5.6065e-05
110,9,5.4823e-05
111,9,7.1254e-05
112,8,1.7002e-05
113,9,2.3013e-05
114,9,2.6179e-05
115,9,0.000107012
116,9,2.7682e-05
117,9,0.000142689
118,9,6.1746e-05
119,9,0.000140184
120,8,2.0027e-05
121,9,4.1057e-05
122,9,4.0747e-05
123,9,5.0515e-05
124,9,4.0556e-05
125,9,9.044e-05
126,9,5.0194e-05
127,10,0.000595941
128,7,1.2865e-05
129,8,1.7002e-05
130,8,1.6992e-05
131,9,1.7473e-05
132,8,1.7432e-05
133,9,1.7713e-05
134,9,1.7272e-05
135,9,0.000170961
136,8,1.7092e-05
137,9,2.4917e-05
138,9,1.8365e-05
139,10,0.000176221
140,9,1.7513e-05
141,10,0.000270148
142,10,0.000266531
143,10,0.000570213
144,8,1.7303e-05
145,9,1.7573e-05
146,9,1.7523e-05
147,9,3.9023e-05
148,9,1.7613e-05
149,9,6.917e-05
150,9,3.6058e-05
151,10,0.000262483
152,9,1.7363e-05
153,9,6.2057e-05
154,9,6.7948e-05
155,10,0.000269096
156,9,3.3623e-05
157,10,0.000225995
158,10,0.000229602
159,10,0.000243778
160,8,1.7072e-05
161,9,1.7994e-05
162,9,1.7613e-05
163,9,7.3849e-05
164,9,1.7333e-05
165,9,3.9675e-05
166,9,3.9755e-05
167,10,0.000472558
168,9,1.7443e-05
169,10,5.805e-05
170,9,3.6649e-05
171,10,0.000226015
172,9,3.5306e-05
173,10,0.000356521
174,10,0.000247916
175,10,0.000440738
176,9,1.7382e-05
177,10,6.7066e-05
178,10,7.0803e-05
179,10,0.000235362
180,9,3.3333e-05
181,10,0.000312047
182,10,0.000219162
183,10,0.000357943
184,9,3.188e-05
185,10,0.000242907
186,10,0.000247295
187,10,0.000296057
188,10,0.000202591
189,10,0.000441831
190,10,0.000300915
191,11,0.005374887
192,8,1.7263e-05
193,9,1.7493e-05
194,9,1.7593e-05
195,9,2.5117e-05
196,9,1.7723e-05
197,10,3.4605e-05
198,9,2.3875e-05
199,10,0.000112292
200,9,1.7243e-05
201,10,6.2999e-05
202,10,5.84e-05
203,10,0.000141086
204,9,3.8904e-05
205,10,0.000107793
206,10,0.00012218
207,10,0.000128452
208,9,3.2512e-05
209,10,4.286e-05
210,10,5.9061e-05
211,10,0.000126208
212,10,5.29e-05
213,10,0.000314752
214,10,0.000119034
215,10,0.000534096
216,9,3.6999e-05
217,10,8.9639e-05
218,10,8.5792e-05
219,10,0.000100179
220,10,8.5511e-05
221,10,0.000374064
222,10,0.000100329
223,11,0.001792336
224,9,3.172e-05
225,10,4.6958e-05
226,10,4.2169e-05
227,10,0.000119435
228,10,4.5326e-05
229,10,0.000269047
230,10,0.000109296
231,10,0.000223721
232,10,4.788e-05
233,10,0.000343036
234,10,0.000218902
235,11,0.001912572
236,10,8.9598e-05
237,11,0.001754394
238,10,0.000242867
239,11,0.001838602
240,9,3.5547e-05
241,10,6.4662e-05
242,10,7.2306e-05
243,10,8.011e-05
244,10,6.4531e-05
245,10,0.000138591
246,10,8.2526e-05
247,11,0.001102657
248,10,6.4852e-05
249,10,0.000266923
250,10,0.000148179
251,11,0.001134647
252,10,7.4039e-05
253,11,0.000985957
254,11,0.001248271
255,10,0.000271391
256,8,1.9627e-05
257,9,3.0909e-05
258,9,3.3002e-05
259,10,3.2201e-05
260,9,3.2091e-05
261,10,3.2472e-05
262,10,3.219e-05
263,11,0.000354768
264,9,3.2912e-05
265,10,1.7694e-05
266,10,3.2131e-05
267,11,0.000384113
268,10,3.2661e-05
269,11,0.000354428
270,10,0.00024956
271,11,0.001113537
272,9,4.2581e-05
273,10,3.4455e-05
274,10,3.2461e-05
275,11,0.000448134
276,10,1.7673e-05
277,11,0.000278023
278,11,0.000411104
279,11,0.002971466
280,10,3.2251e-05
281,10,0.00015906
282,11,0.000420542
283,11,0.000860972
284,11,0.000449567
285,11,0.001875152
286,11,0.000876301
287,11,0.002515448
288,9,3.19e-05
289,10,3.2491e-05
290,10,3.2371e-05
291,10,5.9082e-05
292,10,3.2231e-05
293,10,0.000106701
294,10,4.239e-05
295,11,0.000449777
296,10,3.2291e-05
297,10,9.8626e-05
298,10,0.000109948
299,11,0.000466749
300,10,5.1517e-05
301,11,0.000456249
302,11,0.000410934
303,11,0.000438546
304,10,3.3233e-05
305,11,0.000317258
306,10,9.59e-05
307,11,0.000448064
308,10,0.000124244
309,11,0.001765755
310,11,0.000423898
311,11,0.002540855
312,10,5.3581e-05
313,11,0.000354097
314,11,0.0003503
315,11,0.000431873
316,11,0.000358285
317,11,0.002610787
318,11,0.000370598
319,11,0.003320594
320,9,3.2832e-05
321,10,3.3674e-05
322,10,3.3233e-05
323,10,6.7857e-05
324,10,3.2601e-05
325,10,6.6095e-05
326,10,6.7097e-05
327,11,0.000899565
328,10,3.2351e-05
329,11,0.000103886
330,10,6.3349e-05
331,11,0.000803022
332,10,6.2086e-05
333,11,0.000761925
334,11,0.000804866
335,11,0.000804365
336,10,3.3814e-05
337,11,8.8026e-05
338,11,0.000131678
339,11,0.000380808
340,10,5.8139e-05
341,11,0.000698626
342,11,0.000415853
343,11,0.000920814
344,10,5.6616e-05
345,11,0.000564453
346,11,0.000560836
347,11,0.000637
348,11,0.000344839
349,11,0.000903532
350,11,0.000653271
351,11,0.002887939
352,10,3.2982e-05
353,11,9.1362e-05
354,11,0.00014361
355,11,0.000404352
356,11,0.000138
357,11,0.000723022
358,11,0.000391528
359,11,0.001467584
360,10,5.1568e-05
361,11,0.000456029
362,11,0.0005311
363,11,0.000602184
364,11,0.000416554
365,11,0.000614377
366,11,0.000625458
367,11,0.003118243
368,10,5.1187e-05
369,11,0.000417155
370,11,0.000402949
371,11,0.000441732
372,11,0.000407407
373,11,0.000772074
374,11,0.000464845
375,11,0.001904156
376,11,0.000306167
377,11,0.001261125
378,11,0.000628133
379,12,0.009390396
380,11,0.000422777
381,11,0.002046805
382,11,0.002610807
383,12,0.012932728
384,9,3.2181e-05
385,10,7.2888e-05
386,10,3.3774e-05
387,10,4.3803e-05
388,10,3.2772e-05
389,11,5.7489e-05
390,10,4.1829e-05
391,11,0.000205637
392,10,3.2902e-05
393,11,5.858e-05
394,11,6.4953e-05
395,11,0.000223972
396,10,3.5937e-05
397,11,0.000157697
398,11,0.000141847
399,11,0.000164129
400,10,1.8074e-05
401,11,4.4533e-05
402,11,4.9412e-05
403,11,0.000174055
404,11,5.0204e-05
405,11,0.000345065
406,11,0.000154188
407,12,0.005388114
408,10,2.3403e-05
409,11,0.000124192
410,11,0.000111328
411,11,0.000131536
412,11,0.000110456
413,11,0.001162672
414,11,0.000129261
415,11,0.001381942
416,10,1.7282e-05
417,11,3.4936e-05
418,11,3.3413e-05
419,11,0.000156934
420,11,5.6746e-05
421,11,0.00037504
422,11,0.000143097
423,11,0.000708604
424,11,4.6998e-05
425,11,0.00076535
426,11,0.000389016
427,12,0.003948275
428,11,0.000121838
429,11,0.000662136
430,11,0.000793593
431,12,0.004529641
432,10,3.0357e-05
433,11,8.548e-05
434,11,8.583e-05
435,11,0.000140151
436,11,8.4708e-05
437,11,0.000450622
438,11,0.000101659
439,12,0.002969056
440,11,8.4688e-05
441,11,0.000448348
442,11,0.000512086
443,12,0.00283748
444,11,0.000100077
445,12,0.003488697
446,12,0.003644437
447,11,0.000807939
448,10,1.7453e-05
449,11,2.4677e-05
450,11,3.9153e-05
451,11,0.000168444
452,11,3.219e-05
453,11,0.000306813
454,11,0.000125865
455,11,0.000293198
456,11,4.5194e-05
457,11,0.000447827
458,11,0.00029444
459,11,0.000667988
460,11,0.000108814
461,12,0.003013088
462,11,0.000298748
463,12,0.003343255
464,11,3.9324e-05
465,12,0.001817866
466,11,0.000523117
467,12,0.002456679
468,11,0.00025703
469,12,0.00722191
470,12,0.003333808
471,12,0.009818941
472,11,9.5789e-05
473,12,0.002600999
474,12,0.003041652
475,12,0.003451377
476,11,0.000253704
477,12,0.008479038
478,12,0.003242837
479,12,0.008516639
480,10,2.3544e-05
481,11,6.1194e-05
482,11,6.1134e-05
483,11,7.7003e-05
484,11,6.957e-05
485,11,0.000162593
486,11,7.515e-05
487,12,0.001692741
488,11,6.0694e-05
489,11,0.000350374
490,11,0.000179776
491,12,0.00168632
492,11,7.3738e-05
493,12,0.00168645
494,12,0.002026415
495,11,0.000381363
496,11,6.1115e-05
497,12,0.001300289
498,11,0.000404476
499,12,0.001635976
500,11,0.000173063
501,12,0.004939748
502,12,0.002197747
503,12,0.004793272
504,11,7.7126e-05
505,12,0.001923701
506,12,0.001800089
507,12,0.001558063
508,12,0.002048256
509,12,0.004945269
510,11,0.000407958
511,12,0.006202706
512,9,1.605e-05
513,10,2.4767e-05
514,10,2.5498e-05
515,11,2.4345e-05
516,10,2.3714e-05
517,11,2.2573e-05
518,11,3.6138e-05
519,12,0.000794837
520,10,2.3604e-05
521,11,2.118e-05
522,11,2.0809e-05
523,12,0.000548142
524,11,2.0098e-05
525,12,0.001018998
526,12,0.00081863
527,12,0.002115763
528,10,2.0408e-05
529,11,2.101e-05
530,11,2.2713e-05
531,12,0.000622932
532,11,2.4586e-05
533,12,0.000540538
534,12,0.000989072
535,12,0.005677947
536,11,2.1e-05
537,12,0.000607443
538,12,0.000858967
539,12,0.001730748
540,11,0.000316356
541,12,0.006506998
542,12,0.001576658
543,12,0.011170676
544,10,2.7162e-05
545,11,4.1087e-05
546,11,2.645e-05
