sim_number,time,chemostat_id,integer,frequency
1,0,1,1,1
1,1,1,1,618
1,1,1,3,25
1,1,1,4,6
1,1,1,6,1
1,1,1,2,111
1,1,1,5,1
1,1,2,1,17
1,1,2,2,2
1,1,6,1,18
1,1,6,2,4
1,1,7,1,1
1,1,7,2,1
1,1,8,1,1
1,2,1,1,672
1,2,1,4,37
1,2,1,2,205
1,2,1,5,13
1,2,1,3,97
1,2,1,7,10
1,2,1,10,1
1,2,1,6,13
1,2,1,9,3
1,2,1,8,4
1,2,2,1,57
1,2,2,4,3
1,2,2,5,1
1,2,2,2,3
1,2,2,3,3
1,2,3,1,1
1,2,6,1,59
1,2,6,6,2
1,2,6,2,3
1,2,6,4,2
1,2,6,3,4
1,2,7,1,3
1,2,7,2,2
1,2,8,1,1
1,2,11,3,1
1,3,1,1,637
1,3,1,8,13
1,3,1,9,10
1,3,1,2,196
1,3,1,7,17
1,3,1,4,57
1,3,1,5,34
1,3,1,3,109
1,3,1,6,24
1,3,1,10,5
1,3,2,1,84
1,3,2,2,13
1,3,2,5,2
1,3,2,3,5
1,3,2,7,3
1,3,2,4,3
1,3,2,6,1
1,3,3,1,3
1,3,6,1,111
1,3,6,5,4
1,3,6,7,3
1,3,6,3,6
1,3,6,2,23
1,3,6,4,2
1,3,6,9,1
1,3,7,1,13
1,3,7,2,2
1,3,8,1,1
1,3,11,1,1
1,3,11,2,1
1,4,1,1,625
1,4,1,6,33
1,4,1,3,97
1,4,1,9,16
1,4,1,7,28
1,4,1,8,19
1,4,1,10,14
1,4,1,2,179
1,4,1,4,67
1,4,1,5,45
1,4,2,1,122
1,4,2,7,1
1,4,2,2,24
1,4,2,5,6
1,4,2,3,8
1,4,2,4,5
1,4,2,10,1
1,4,2,6,2
1,4,3,1,10
1,4,3,7,1
1,4,6,1,164
1,4,6,3,15
1,4,6,4,5
1,4,6,8,2
1,4,6,2,33
1,4,6,5,3
1,4,6,7,3
1,4,6,9,1
1,4,6,6,1
1,4,7,1,15
1,4,7,8,1
1,4,7,2,1
1,4,8,1,1
1,4,11,1,5
1,4,11,2,1
1,4,12,1,1
1,5,1,1,638
1,5,1,6,28
1,5,1,5,53
1,5,1,2,185
1,5,1,9,24
1,5,1,3,112
1,5,1,4,56
1,5,1,10,11
1,5,1,7,23
1,5,1,8,18
1,5,2,1,164
1,5,2,4,16
1,5,2,6,4
1,5,2,3,14
1,5,2,2,26
1,5,2,8,2
1,5,2,5,4
1,5,2,9,2
1,5,3,1,15
1,5,3,2,2
1,5,3,4,1
1,5,4,1,1
1,5,6,1,195
1,5,6,4,10
1,5,6,8,4
1,5,6,2,33
1,5,6,5,5
1,5,6,3,15
1,5,6,6,3
1,5,6,9,1
1,5,7,1,30
1,5,7,8,2
1,5,7,3,1
1,5,7,2,2
1,5,8,1,1
1,5,11,1,16
1,5,11,3,1
1,5,11,4,1
1,5,12,1,1
1,6,1,1,580
1,6,1,4,76
1,6,1,7,23
1,6,1,5,55
1,6,1,2,159
1,6,1,10,13
1,6,1,3,102
1,6,1,6,38
1,6,1,9,16
1,6,1,8,16
1,6,2,1,198
1,6,2,2,46
1,6,2,9,2
1,6,2,4,16
1,6,2,10,1
1,6,2,5,5
1,6,2,3,16
1,6,2,6,5
1,6,2,7,2
1,6,2,8,1
1,6,3,3,3
1,6,3,1,22
1,6,3,2,1
1,6,3,4,1
1,6,4,1,1
1,6,6,1,218
1,6,6,5,10
1,6,6,10,3
1,6,6,3,18
1,6,6,4,13
1,6,6,2,35
1,6,6,7,2
1,6,6,6,4
1,6,6,8,1
1,6,7,1,40
1,6,7,4,1
1,6,7,9,1
1,6,7,5,1
1,6,7,2,5
1,6,7,6,1
1,6,8,1,4
1,6,11,1,23
1,6,11,3,3
1,6,11,2,2
1,6,11,4,1
1,6,12,1,4
1,7,1,1,595
1,7,1,5,36
1,7,1,7,20
1,7,1,8,27
1,7,1,9,28
1,7,1,3,101
1,7,1,4,56
1,7,1,2,164
1,7,1,6,27
1,7,1,10,13
1,7,2,1,218
1,7,2,9,2
1,7,2,2,58
1,7,2,6,6
1,7,2,3,29
1,7,2,5,10
1,7,2,4,19
1,7,2,10,1
1,7,2,8,1
1,7,2,7,2
1,7,3,1,38
1,7,3,7,2
1,7,3,2,4
1,7,3,4,1
1,7,4,1,2
1,7,6,1,196
1,7,6,6,9
1,7,6,2,48
1,7,6,10,2
1,7,6,7,3
1,7,6,3,22
1,7,6,5,8
1,7,6,4,15
1,7,6,9,1
1,7,6,8,2
1,7,7,1,61
1,7,7,9,1
1,7,7,4,2
1,7,7,2,5
1,7,7,3,1
1,7,7,6,1
1,7,8,1,6
1,7,8,2,1
1,7,11,1,30
1,7,11,3,4
1,7,11,4,2
1,7,11,2,3
1,7,12,1,8
1,7,16,1,2
1,8,1,1,597
1,8,1,6,33
1,8,1,10,14
1,8,1,3,86
1,8,1,7,33
1,8,1,8,20
1,8,1,5,39
1,8,1,4,57
1,8,1,2,158
1,8,1,9,21
1,8,2,1,245
1,8,2,10,4
1,8,2,5,11
1,8,2,6,13
1,8,2,4,21
1,8,2,8,9
1,8,2,2,59
1,8,2,3,23
1,8,2,7,4
1,8,3,1,45
1,8,3,3,2
1,8,3,2,4
1,8,3,5,2
1,8,3,7,1
1,8,3,4,1
1,8,4,1,4
1,8,6,1,231
1,8,6,4,24
1,8,6,3,30
1,8,6,7,6
1,8,6,5,5
1,8,6,2,62
1,8,6,9,2
1,8,6,8,7
1,8,6,10,2
1,8,6,6,5
1,8,7,1,78
1,8,7,6,1
1,8,7,5,1
1,8,7,2,8
1,8,7,9,1
1,8,7,3,2
1,8,8,1,8
1,8,8,2,1
1,8,11,1,40
1,8,11,6,1
1,8,11,2,8
1,8,11,3,1
1,8,12,1,10
1,8,13,1,1
1,8,16,1,6
1,9,1,1,631
1,9,1,3,89
1,9,1,7,28
1,9,1,5,48
1,9,1,2,146
1,9,1,9,25
1,9,1,8,24
1,9,1,4,44
1,9,1,6,25
1,9,1,10,10
1,9,2,1,266
1,9,2,6,16
1,9,2,9,4
1,9,2,5,16
1,9,2,4,20
1,9,2,10,3
1,9,2,2,64
1,9,2,8,10
1,9,2,3,32
1,9,2,7,10
1,9,3,1,59
1,9,3,2,5
1,9,3,4,1
1,9,3,6,1
1,9,3,3,1
1,9,3,7,1
1,9,3,5,1
1,9,3,9,1
1,9,4,1,6
1,9,6,1,242
1,9,6,3,31
1,9,6,8,9
1,9,6,7,6
1,9,6,10,4
1,9,6,6,6
1,9,6,5,13
1,9,6,4,16
1,9,6,9,4
1,9,6,2,60
1,9,7,1,94
1,9,7,6,1
1,9,7,3,3
1,9,7,2,16
1,9,7,4,4
1,9,8,1,10
1,9,8,2,1
1,9,11,5,2
1,9,11,1,56
1,9,11,4,3
1,9,11,2,10
1,9,11,7,1
1,9,11,3,1
1,9,12,1,11
1,9,13,1,1
1,9,16,1,8
1,10,1,1,597
1,10,1,6,31
1,10,1,10,16
1,10,1,3,101
1,10,1,5,48
1,10,1,4,66
1,10,1,9,21
1,10,1,8,29
1,10,1,2,181
1,10,1,7,19
1,10,2,1,234
1,10,2,9,8
1,10,2,3,47
1,10,2,6,8
1,10,2,8,8
1,10,2,5,19
1,10,2,10,2
1,10,2,2,74
1,10,2,4,32
1,10,2,7,9
1,10,3,1,69
1,10,3,5,2
1,10,3,2,11
1,10,3,7,2
1,10,3,6,1
1,10,3,3,3
1,10,4,1,5
1,10,5,1,1
1,10,6,1,268
1,10,6,5,13
1,10,6,7,9
1,10,6,3,33
1,10,6,4,25
1,10,6,6,12
1,10,6,9,6
1,10,6,8,3
1,10,6,2,55
1,10,6,10,2
1,10,7,1,111
1,10,7,3,7
1,10,7,5,4
1,10,7,2,14
1,10,7,4,1
1,10,7,9,1
1,10,7,8,1
1,10,8,1,15
1,10,8,3,1
1,10,11,1,60
1,10,11,3,6
1,10,11,2,12
1,10,11,7,1
1,10,11,4,2
1,10,12,1,20
1,10,12,4,1
1,10,12,6,1
1,10,12,2,2
1,10,13,1,1
1,10,16,1,10
1,10,16,9,1
1,11,1,1,601
1,11,1,6,28
1,11,1,5,36
1,11,1,4,76
1,11,1,2,155
1,11,1,8,33
1,11,1,3,84
1,11,1,7,24
1,11,1,9,30
1,11,1,10,17
1,11,2,1,249
1,11,2,9,14
1,11,2,6,15
1,11,2,5,22
1,11,2,2,75
1,11,2,3,47
1,11,2,10,7
1,11,2,8,6
1,11,2,4,23
1,11,2,7,5
1,11,3,1,87
1,11,3,2,9
1,11,3,6,2
1,11,3,9,1
1,11,3,7,2
1,11,3,3,2
1,11,4,1,11
1,11,4,2,1
1,11,5,1,1
1,11,6,1,256
1,11,6,5,19
1,11,6,7,12
1,11,6,8,3
1,11,6,2,77
1,11,6,10,4
1,11,6,4,29
1,11,6,3,43
1,11,6,6,15
1,11,6,9,6
1,11,7,1,118
1,11,7,5,3
1,11,7,2,25
1,11,7,3,7
1,11,7,6,1
1,11,7,10,1
1,11,7,4,1
1,11,7,9,1
1,11,8,1,18
1,11,8,3,1
1,11,8,2,3
1,11,11,1,71
1,11,11,2,13
1,11,11,4,2
1,11,11,3,7
1,11,11,8,1
1,11,12,1,24
1,11,12,3,2
1,11,12,2,2
1,11,12,6,1
1,11,13,1,5
1,11,16,1,14
1,11,16,9,1
1,11,16,7,1
1,11,17,1,1
1,12,1,1,630
1,12,1,2,149
1,12,1,6,24
1,12,1,9,19
1,12,1,8,24
1,12,1,3,99
1,12,1,7,25
1,12,1,10,30
1,12,1,5,44
1,12,1,4,68
1,12,2,1,239
1,12,2,4,26
1,12,2,2,85
1,12,2,8,9
1,12,2,3,40
1,12,2,9,8
1,12,2,5,25
1,12,2,7,9
1,12,2,10,8
1,12,2,6,9
1,12,3,1,101
1,12,3,3,5
1,12,3,6,2
1,12,3,2,5
1,12,3,4,2
1,12,4,1,17
1,12,5,1,1
1,12,6,1,242
1,12,6,8,14
1,12,6,5,24
1,12,6,2,69
1,12,6,6,18
1,12,6,7,11
1,12,6,3,45
1,12,6,4,18
1,12,6,10,4
1,12,6,9,8
1,12,7,1,150
1,12,7,3,8
1,12,7,4,5
1,12,7,7,1
1,12,7,2,31
1,12,7,9,2
1,12,7,5,3
1,12,7,6,1
1,12,7,10,1
1,12,8,1,29
1,12,8,9,1
1,12,8,2,1
1,12,11,1,84
1,12,11,2,8
1,12,11,8,2
1,12,11,4,6
1,12,11,3,7
1,12,11,5,1
1,12,12,1,32
1,12,12,2,3
1,12,12,6,1
1,12,12,3,1
1,12,13,1,2
1,12,13,2,2
1,12,16,1,15
1,12,16,5,1
1,12,16,3,3
1,12,16,2,1
1,12,17,1,2
1,13,1,1,586
1,13,1,5,51
1,13,1,8,16
1,13,1,2,149
1,13,1,4,58
1,13,1,3,87
1,13,1,9,19
1,13,1,6,42
1,13,1,7,26
1,13,1,10,17
1,13,2,1,260
1,13,2,8,17
1,13,2,6,12
1,13,2,9,7
1,13,2,4,28
1,13,2,5,22
1,13,2,3,46
1,13,2,2,83
1,13,2,7,17
1,13,2,10,5
1,13,3,1,118
1,13,3,10,2
1,13,3,2,7
1,13,3,4,5
1,13,3,9,1
1,13,3,6,1
1,13,3,3,2
1,13,4,1,22
1,13,4,2,1
1,13,5,1,1
1,13,6,1,273
1,13,6,4,31
1,13,6,9,10
1,13,6,6,20
1,13,6,10,6
1,13,6,5,15
1,13,6,3,39
1,13,6,2,86
1,13,6,8,10
1,13,6,7,7
1,13,7,1,155
1,13,7,5,2
1,13,7,9,1
1,13,7,8,1
1,13,7,6,2
1,13,7,2,43
1,13,7,3,11
1,13,7,7,1
1,13,7,4,6
1,13,8,1,38
1,13,8,2,5
1,13,9,1,2
1,13,11,1,108
1,13,11,4,8
1,13,11,2,18
1,13,11,8,2
1,13,11,3,2
1,13,11,6,1
1,13,12,1,41
1,13,12,5,1
1,13,12,2,1
1,13,13,1,5
1,13,13,2,1
1,13,16,1,27
1,13,16,3,2
1,13,17,1,2
1,13,21,1,1
1,14,1,1,613
1,14,1,5,37
1,14,1,4,54
1,14,1,8,29
1,14,1,10,16
1,14,1,3,82
1,14,1,7,25
1,14,1,2,148
1,14,1,6,35
1,14,1,9,14
1,14,2,1,268
1,14,2,9,6
1,14,2,6,13
1,14,2,7,21
1,14,2,4,25
1,14,2,3,51
1,14,2,5,19
1,14,2,2,76
1,14,2,8,9
1,14,2,10,8
1,14,3,1,108
1,14,3,5,4
1,14,3,10,1
1,14,3,2,24
1,14,3,3,6
1,14,3,8,2
1,14,3,7,1
1,14,3,4,1
1,14,4,1,22
1,14,4,2,3
1,14,5,1,3
1,14,6,1,293
1,14,6,7,15
1,14,6,3,38
1,14,6,2,79
1,14,6,5,27
1,14,6,9,6
1,14,6,10,8
1,14,6,4,34
1,14,6,8,13
1,14,6,6,11
1,14,7,1,184
1,14,7,2,37
1,14,7,7,3
1,14,7,6,2
1,14,7,5,5
1,14,7,3,23
1,14,7,9,1
1,14,7,4,3
1,14,8,1,45
1,14,8,2,8
1,14,8,10,1
1,14,9,1,3
1,14,11,1,115
1,14,11,5,4
1,14,11,9,1
1,14,11,6,1
1,14,11,3,4
1,14,11,2,26
1,14,11,4,5
1,14,11,7,2
1,14,11,8,3
1,14,12,1,44
1,14,12,5,1
1,14,12,4,1
1,14,12,2,1
1,14,12,3,1
1,14,13,1,9
1,14,13,4,1
1,14,14,1,1
1,14,16,1,29
1,14,16,3,2
1,14,17,1,2
1,14,21,1,4
1,15,1,1,575
1,15,1,5,52
1,15,1,10,21
1,15,1,3,100
1,15,1,9,22
1,15,1,4,61
1,15,1,7,25
1,15,1,2,157
1,15,1,6,23
1,15,1,8,22
1,15,2,1,266
1,15,2,10,7
1,15,2,6,14
1,15,2,7,11
1,15,2,4,25
1,15,2,3,60
1,15,2,8,8
1,15,2,5,23
1,15,2,2,82
1,15,2,9,13
1,15,3,1,129
1,15,3,5,7
1,15,3,3,11
1,15,3,8,1
1,15,3,2,16
1,15,3,4,4
1,15,4,1,28
1,15,4,2,1
1,15,5,1,4
1,15,6,1,287
1,15,6,3,39
1,15,6,9,10
1,15,6,4,39
1,15,6,5,35
1,15,6,2,79
1,15,6,10,3
1,15,6,6,13
1,15,6,7,8
1,15,6,8,2
1,15,7,1,206
1,15,7,7,2
1,15,7,4,9
1,15,7,6,6
1,15,7,9,2
1,15,7,5,3
1,15,7,3,21
1,15,7,2,34
1,15,7,8,1
1,15,7,10,1
1,15,8,1,52
1,15,8,5,2
1,15,8,7,1
1,15,8,3,2
1,15,8,2,7
