,integer,assembly-index
0,1,0
1,2,1
2,3,2
3,4,2
4,5,3
5,6,3
6,7,4
7,8,3
8,9,4
9,10,4
10,11,5
11,12,4
12,13,5
13,14,5
14,15,5
15,16,4
16,17,5
17,18,5
18,19,6
19,20,5
20,21,6
21,22,6
22,23,6
23,24,5
24,25,6
25,26,6
26,27,6
27,28,6
28,29,7
29,30,6
30,31,7
31,32,5
32,33,6
33,34,6
34,35,7
35,36,6
36,37,7
37,38,7
38,39,7
39,40,6
40,41,7
41,42,7
42,43,7
43,44,7
44,45,7
45,46,7
46,47,8
47,48,6
48,49,7
49,50,7
50,51,7
51,52,7
52,53,8
53,54,7
54,55,8
55,56,7
56,57,8
57,58,8
58,59,8
59,60,7
60,61,8
61,62,8
62,63,8
63,64,6
64,65,7
65,66,7
66,67,8
67,68,7
68,69,8
69,70,8
70,71,9
71,72,7
72,73,8
73,74,8
74,75,8
75,76,8
76,77,8
77,78,8
78,79,9
79,80,7
80,81,8
81,82,8
82,83,8
83,84,8
84,85,8
85,86,8
86,87,9
87,88,8
88,89,9
89,90,8
90,91,9
91,92,8
92,93,9
93,94,9
94,95,9
95,96,7
96,97,8
97,98,8
98,99,8
99,100,8
100,101,9
101,102,8
102,103,9
103,104,8
104,105,9
105,106,9
106,107,9
107,108,8
108,109,9
109,110,9
110,111,9
111,112,8
112,113,9
113,114,9
114,115,9
115,116,9
116,117,9
117,118,9
118,119,9
119,120,8
120,121,9
121,122,9
122,123,9
123,124,9
124,125,9
125,126,9
126,127,10
127,128,7
128,129,8
129,130,8
130,131,9
131,132,8
132,133,9
133,134,9
134,135,9
135,136,8
136,137,9
137,138,9
138,139,10
139,140,9
140,141,10
141,142,10
142,143,10
143,144,8
144,145,9
145,146,9
146,147,9
147,148,9
148,149,9
149,150,9
150,151,10
151,152,9
152,153,9
153,154,9
154,155,10
155,156,9
156,157,10
157,158,10
158,159,10
159,160,8
160,161,9
161,162,9
162,163,9
163,164,9
164,165,9
165,166,9
166,167,10
167,168,9
168,169,10
169,170,9
170,171,10
171,172,9
172,173,10
173,174,10
174,175,10
175,176,9
176,177,10
177,178,10
178,179,10
179,180,9
180,181,10
181,182,10
182,183,10
